date,Both sexes (SA),Men (SA),Women (SA),Both sexes (NSA),Men (NSA),Women (NSA)
2023-12-01,161058,85665,75394,160754,85198,75556
2024-01-01,161133,85037,76096,159650,83959,75691
2024-02-01,161083,85118,75965,160315,84391,75924
2024-03-01,161462,85497,75965,161356,85253,76103
2024-04-01,161438,85198,76239,161590,85187,76403
2024-05-01,161180,84979,76201,161341,85076,76265
2024-06-01,161152,85443,75709,161774,86182,75592
2024-07-01,161297,85394,75903,162038,86368,75670
2024-08-01,161429,85032,76396,161348,85379,75970
2024-09-01,161813,85562,76251,162046,85754,76292
2024-10-01,161444,85590,75854,161938,85770,76169
2024-11-01,161159,85329,75830,161456,85296,76161
2024-12-01,161586,85593,75993,161294,85139,76155
2025-01-01,163831,86700,77131,162347,85611,76736
2025-02-01,163338,86269,77068,162544,85519,77025
2025-03-01,163509,86457,77052,163412,86216,77195
2025-04-01,163898,86691,77208,164069,86688,77381
2025-05-01,163244,86473,76771,163401,86565,76836
2025-06-01,163327,86558,76769,163883,87272,76611
2025-07-01,163140,86375,76765,163799,87317,76482
2025-08-01,163370,86834,76536,163288,87194,76094
2025-09-01,163656,86652,77004,163894,86849,77045
2025-11-01,163760,86616,77144,164066,86582,77484
2025-12-01,163992,86812,77180,163720,86372,77348
2026-01-01,163097,85348,77749,161670,84291,77379
2026-02-01,162912,85210,77702,162153,84460,77693
2026-03-01,162848,85111,77737,162764,84852,77912
2026-04-01,162622,85007,77615,162781,84981,77799
2026-05-01,162771,85172,77599,162897,85245,77652
2026-06-01,162264,84854,77410,162722,85498,77224
